TRACK_ID,ARTIST_ID,ALBUM_ID,DURATION,AUDIO_PATH,AF_PATH,MEL_PATH,MOOD_TAG
TRK_49613,ARTST_229424,ALBM_885027,92.2,data/audio/13/TRK_49613.mp3,data/acoustic_brainz/13/TRK_49613.json,data/mel_feat/13/TRK_49613.npy,HAPPY
TRK_41148,ARTST_294940,ALBM_508022,162.8,data/audio/8/TRK_41148.mp3,data/acoustic_brainz/8/TRK_41148.json,data/mel_feat/8/TRK_41148.npy,HAPPY
TRK_60358,ARTST_229675,ALBM_722107,126.0,data/audio/18/TRK_60358.mp3,data/acoustic_brainz/18/TRK_60358.json,data/mel_feat/18/TRK_60358.npy,SAD
TRK_755,ARTST_172351,ALBM_541086,126.6,data/audio/15/TRK_755.mp3,data/acoustic_brainz/15/TRK_755.json,data/mel_feat/15/TRK_755.npy,HAPPY
TRK_10625,ARTST_262732,ALBM_811986,666.3,data/audio/5/TRK_10625.mp3,data/acoustic_brainz/5/TRK_10625.json,data/mel_feat/5/TRK_10625.npy,HAPPY
TRK_49805,ARTST_385422,ALBM_655749,357.0,data/audio/5/TRK_49805.mp3,data/acoustic_brainz/5/TRK_49805.json,data/mel_feat/5/TRK_49805.npy,HAPPY
TRK_82404,ARTST_278795,ALBM_835897,135.5,data/audio/4/TRK_82404.mp3,data/acoustic_brainz/4/TRK_82404.json,data/mel_feat/4/TRK_82404.npy,SAD
TRK_50692,ARTST_328156,ALBM_885422,227.9,data/audio/12/TRK_50692.mp3,data/acoustic_brainz/12/TRK_50692.json,data/mel_feat/12/TRK_50692.npy,HAPPY
TRK_50820,ARTST_229598,ALBM_565986,208.1,data/audio/0/TRK_50820.mp3,data/acoustic_brainz/0/TRK_50820.json,data/mel_feat/0/TRK_50820.npy,HAPPY
TRK_35923,ARTST_361085,ALBM_828670,277.3,data/audio/3/TRK_35923.mp3,data/acoustic_brainz/3/TRK_35923.json,data/mel_feat/3/TRK_35923.npy,HAPPY
TRK_16598,ARTST_360699,ALBM_688258,274.2,data/audio/18/TRK_16598.mp3,data/acoustic_brainz/18/TRK_16598.json,data/mel_feat/18/TRK_16598.npy,HAPPY
TRK_11943,ARTST_294940,ALBM_673190,110.9,data/audio/3/TRK_11943.mp3,data/acoustic_brainz/3/TRK_11943.json,data/mel_feat/3/TRK_11943.npy,HAPPY
TRK_27370,ARTST_303581,ALBM_500855,252.6,data/audio/10/TRK_27370.mp3,data/acoustic_brainz/10/TRK_27370.json,data/mel_feat/10/TRK_27370.npy,SAD
TRK_8608,ARTST_147507,ALBM_721165,460.0,data/audio/8/TRK_8608.mp3,data/acoustic_brainz/8/TRK_8608.json,data/mel_feat/8/TRK_8608.npy,SAD
TRK_90554,ARTST_188715,ALBM_704801,34.9,data/audio/14/TRK_90554.mp3,data/acoustic_brainz/14/TRK_90554.json,data/mel_feat/14/TRK_90554.npy,HAPPY
TRK_98540,ARTST_336126,ALBM_819342,253.4,data/audio/0/TRK_98540.mp3,data/acoustic_brainz/0/TRK_98540.json,data/mel_feat/0/TRK_98540.npy,SAD
TRK_91760,ARTST_319993,ALBM_664281,140.1,data/audio/0/TRK_91760.mp3,data/acoustic_brainz/0/TRK_91760.json,data/mel_feat/0/TRK_91760.npy,SAD
TRK_19722,ARTST_172047,ALBM_705837,68.6,data/audio/2/TRK_19722.mp3,data/acoustic_brainz/2/TRK_19722.json,data/mel_feat/2/TRK_19722.npy,HAPPY
TRK_1755,ARTST_270863,ALBM_680703,300.3,data/audio/15/TRK_1755.mp3,data/acoustic_brainz/15/TRK_1755.json,data/mel_feat/15/TRK_1755.npy,HAPPY
TRK_8253,ARTST_376912,ALBM_786481,258.8,data/audio/13/TRK_8253.mp3,data/acoustic_brainz/13/TRK_8253.json,data/mel_feat/13/TRK_8253.npy,SAD
TRK_10952,ARTST_172649,ALBM_533609,342.0,data/audio/12/TRK_10952.mp3,data/acoustic_brainz/12/TRK_10952.json,data/mel_feat/12/TRK_10952.npy,SAD
TRK_52353,ARTST_189051,ALBM_853246,234.4,data/audio/13/TRK_52353.mp3,data/acoustic_brainz/13/TRK_52353.json,data/mel_feat/13/TRK_52353.npy,HAPPY
TRK_93682,ARTST_328006,ALBM_607638,276.6,data/audio/2/TRK_93682.mp3,data/acoustic_brainz/2/TRK_93682.json,data/mel_feat/2/TRK_93682.npy,SAD
TRK_9691,ARTST_172351,ALBM_860836,72.1,data/audio/11/TRK_9691.mp3,data/acoustic_brainz/11/TRK_9691.json,data/mel_feat/11/TRK_9691.npy,HAPPY
TRK_42588,ARTST_278580,ALBM_549586,147.9,data/audio/8/TRK_42588.mp3,data/acoustic_brainz/8/TRK_42588.json,data/mel_feat/8/TRK_42588.npy,HAPPY
TRK_49967,ARTST_327778,ALBM_713132,458.5,data/audio/7/TRK_49967.mp3,data/acoustic_brainz/7/TRK_49967.json,data/mel_feat/7/TRK_49967.npy,HAPPY
TRK_52916,ARTST_188990,ALBM_796130,252.9,data/audio/16/TRK_52916.mp3,data/acoustic_brainz/16/TRK_52916.json,data/mel_feat/16/TRK_52916.npy,HAPPY
TRK_19479,ARTST_311914,ALBM_623837,170.6,data/audio/19/TRK_19479.mp3,data/acoustic_brainz/19/TRK_19479.json,data/mel_feat/19/TRK_19479.npy,SAD
TRK_91148,ARTST_197024,ALBM_582084,88.8,data/audio/8/TRK_91148.mp3,data/acoustic_brainz/8/TRK_91148.json,data/mel_feat/8/TRK_91148.npy,HAPPY
TRK_67342,ARTST_164293,ALBM_869143,392.5,data/audio/2/TRK_67342.mp3,data/acoustic_brainz/2/TRK_67342.json,data/mel_feat/2/TRK_67342.npy,SAD
TRK_28020,ARTST_139932,ALBM_574818,294.3,data/audio/0/TRK_28020.mp3,data/acoustic_brainz/0/TRK_28020.json,data/mel_feat/0/TRK_28020.npy,HAPPY
TRK_17559,ARTST_262367,ALBM_795157,226.9,data/audio/19/TRK_17559.mp3,data/acoustic_brainz/19/TRK_17559.json,data/mel_feat/19/TRK_17559.npy,SAD
TRK_20119,ARTST_294937,ALBM_689628,135.0,data/audio/19/TRK_20119.mp3,data/acoustic_brainz/19/TRK_20119.json,data/mel_feat/19/TRK_20119.npy,SAD
TRK_18911,ARTST_278580,ALBM_836621,106.9,data/audio/11/TRK_18911.mp3,data/acoustic_brainz/11/TRK_18911.json,data/mel_feat/11/TRK_18911.npy,HAPPY
TRK_52498,ARTST_172047,ALBM_705837,64.1,data/audio/18/TRK_52498.mp3,data/acoustic_brainz/18/TRK_52498.json,data/mel_feat/18/TRK_52498.npy,SAD
TRK_34362,ARTST_311689,ALBM_680637,239.7,data/audio/2/TRK_34362.mp3,data/acoustic_brainz/2/TRK_34362.json,data/mel_feat/2/TRK_34362.npy,HAPPY
TRK_11713,ARTST_123510,ALBM_853386,91.9,data/audio/13/TRK_11713.mp3,data/acoustic_brainz/13/TRK_11713.json,data/mel_feat/13/TRK_11713.npy,HAPPY
TRK_17016,ARTST_188715,ALBM_606580,30.6,data/audio/16/TRK_17016.mp3,data/acoustic_brainz/16/TRK_17016.json,data/mel_feat/16/TRK_17016.npy,HAPPY
